,OID_,Name,TargetDestinationCount,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,longitude,latitude,SnapZ,DistanceToNetworkInMeters,Cutoff_Minutes,Cutoff_TravelTime,Cutoff_Miles,Cutoff_Kilometers,Cutoff_TimeAt1KPH,Cutoff_WalkTime,Cutoff_TruckMinutes,Cutoff_TruckTravelTime,charging_rate,physical_capacity
3,4,MD/HD-400,,1,10450686,0.814857125014553,2,0,0,-121.09044538897165,37.25152050901762,0.0,7.51610597114901,,,,,,,,,45,8
4,5,MD/HD-500,,1,10670853,0.986806678714776,1,0,0,-121.57626117599995,38.67137000000001,0.0,4.818152234836591,,,,,,,,,45,8
5,6,MD/HD-600,,1,7680434,0.87975492978659,1,0,0,-122.1957018465722,39.87779050743952,0.0,136.4404863405553,,,,,,,,,45,8
6,7,MD-750,,1,11466194,0.22837751392053,2,0,0,-122.62697351121805,41.740032308864805,0.0,3.426775335585227,,,,,,,,,45,8
7,8,MD-50,,1,9130619,0.820056313431517,2,0,0,-117.38479163576535,33.20677810007946,0.0,37.79480223325341,,,,,,,,,45,8
8,9,MD/HD-100,,1,8583924,0.229822017469576,2,0,0,-117.87379144605188,33.776996527490745,0.0,54.900106594889095,,,,,,,,,45,8
9,10,MD-150,,1,9452735,0.685651595962756,1,0,0,-118.49029952400998,34.31584211931325,0.0,9.679328075391744,,,,,,,,,45,8
10,11,MD-250,,1,8062883,0.532302728202145,1,0,0,-119.510578011536,35.48787441103099,0.0,59.7696360743028,,,,,,,,,45,8
11,12,MD-350,,1,10346790,0.780105937786586,1,0,0,-120.62549736105593,36.642722161385926,0.0,8.58957786149591,,,,,,,,,45,8
12,13,MD-450,,1,10493533,0.829172957790111,1,0,0,-121.27486160448784,37.88011416035715,0.0,34.84725045321722,,,,,,,,,45,8
13,14,MD-550,,1,7636428,0.455236646436914,2,0,0,-122.15341859476273,39.1651446557774,0.0,47.050319385450415,,,,,,,,,45,8
14,15,MD-650,,1,7692184,0.843005238563608,2,0,0,-122.35195057086143,40.54784215282745,0.0,39.03215944432681,,,,,,,,,45,8
15,16,MD/HD-700,,1,11467131,0.451857744745956,2,0,0,-122.31152362385326,41.294759587155994,0.0,21.959351585707225,,,,,,,,,45,8
16,17,MD/HD-00,,1,7827302,0.758763250984972,2,0,0,-117.16090021791032,32.76272336732137,0.0,0.190083295106888,,,,,,,,,45,8
17,18,MD-50,,1,7955996,0.084497366003276,1,0,0,-116.4831912167534,32.76070502925576,0.0,22.640667996990384,,,,,,,,,45,8
18,19,MD/HD-100,,1,9641655,0.969614929845823,2,0,0,-115.80047744727553,32.77077767840309,0.0,4.667696479469543,,,,,,,,,45,8
19,20,MD-150,,1,9683997,0.949740834382676,2,0,0,-114.95722744261192,32.70938304880558,0.0,0.529169498232716,,,,,,,,,45,8
20,21,MD/HD-00,,1,8773654,0.058749072794452,1,0,0,-117.99986280471724,34.06477768019316,0.0,4.861080645028001,,,,,,,,,45,8
21,22,MD/HD-100,,1,9422310,0.059675636798749,1,0,0,-116.54507149246147,33.90568276130773,0.0,35.373117189864075,,,,,,,,,45,8
22,23,MD-50,,1,9284505,0.005677645622906,1,0,0,-117.27885951700506,34.064386463071074,0.0,3.282722546944866,,,,,,,,,45,8
23,24,MD-150,,1,9825468,0.185375286112902,1,0,0,-115.72373684297862,33.660964049641336,0.0,9.548729846691488,,,,,,,,,45,8
24,25,MD/HD-200,,1,9827587,0.995462722829064,2,0,0,-114.901638978,33.609010000000005,0.0,1.705461390895361,,,,,,,,,45,8
25,26,MD/HD-00,,1,8760255,0.799936356690933,2,0,0,-118.06387229244748,34.0386964434973,0.0,10.28735288796454,,,,,,,,,45,8
26,27,MD-50,,1,9291970,0.049077139927265,2,0,0,-117.24374159854376,33.94265056155244,0.0,1.108366549781947,,,,,,,,,45,8
27,28,MD-50,,1,9330986,0.126461676148209,1,0,0,-117.3528823760396,34.1337780386657,0.0,13.963684979912728,,,,,,,,,45,8
28,29,MD/HD-00,,1,8860345,0.711663637454743,1,0,0,-117.93369639396292,34.13059933281652,0.0,1.986802394388318,,,,,,,,,45,8
29,30,IMD/HD-00,,1,8144263,0.190178930486094,1,0,0,-118.20945078886488,33.76660473318925,0.0,12.534332315244155,,,,,,,,,45,8
30,31,MD-50,,1,10370062,0.924521200437513,1,0,0,-119.21852621995843,35.645664315113855,0.0,17.32419193317083,,,,,,,,,45,8
31,32,MD/HD-100,,1,10375651,0.701718272969284,2,0,0,-119.40047985122177,36.32774805103016,0.0,5.624345964056361,,,,,,,,,45,8
32,33,MD-150,,1,10397446,0.619523991058966,1,0,0,-119.91690653328251,36.83281249051794,0.0,3.741793405974418,,,,,,,,,45,8
33,34,MD/HD-200,,1,10473670,0.849253335221438,2,0,0,-120.56704242342786,37.33338861130365,0.0,0.329233924795238,,,,,,,,,45,8
34,35,MD-250,,1,10509984,0.109525801830488,1,0,0,-121.21610990951704,37.82666757712851,0.0,4.765369632143881,,,,,,,,,45,8
35,36,MD/HD-200,,1,10753903,0.233034137064206,2,0,0,-121.2634408553679,38.758238819077214,0.0,2.288905975878089,,,,,,,,,45,8
36,37,MD-250,,1,10849713,0.965762991101962,1,0,0,-120.8322721739682,39.18786540036768,0.0,0.833987072600544,,,,,,,,,45,8
37,38,MD/HD-300,,1,10873399,0.97658972734996,1,0,0,-120.16765186329182,39.337281713992006,0.0,1.360789303229189,,,,,,,,,45,8
38,39,MD-350,,1,7640273,0.762264270332674,1,0,0,-121.68791999999962,39.37050876800004,0.0,2.674709049145563,,,,,,,,,45,8
39,40,MD/HD-400,,1,7642301,0.995833803449061,1,0,0,-121.90288350826032,39.797013538224874,0.0,1.354135036930821,,,,,,,,,45,8
40,41,MD/HD-00,,1,7428709,0.188489040991421,1,0,0,-122.30229293517804,37.82394769780823,0.0,9.62598772632314,,,,,,,,,45,8
41,42,MD-50,,1,7547488,0.612931411218266,1,0,0,-122.15778463053572,38.202733691506666,0.0,9.090275260572865,,,,,,,,,45,8
42,43,MD/HD-100,,1,7617307,0.31623236910267,2,0,0,-121.69416644836826,38.55458916238482,0.0,8.56746551894866,,,,,,,,,45,8
245,246,Location 203,,1,9133328,0.916163676351898,2,0,0,-117.43643766509145,33.26948554031964,0.0,10.199168911611231,,,,,,,,,45,8
246,247,Location 204,,1,9133423,0.527414492877186,2,0,0,-117.44405830949837,33.272453661686214,0.0,29.457391677394224,,,,,,,,,45,8
291,292,Location 249,,1,10809709,0.760117818251697,2,0,0,-120.85775426563396,39.1754790266129,0.0,3.8512395474449,,,,,,,,,45,8
