OID_,OBJECTID,station_na,fuel_type_,status_cod,street_add,city,st_prv_cod,zip,station_ph,access_day,groups_wit,cards_acce,longitude,latitude
1,14,Scripps Green Hospital,ELEC,AVBL,10666 N Torrey Pines Rd,La Jolla,CA,92037,858-554-9100,24 hours daily,Public, ,-117.242999999999995,32.899470000000001
2,31,Sacramento International Airport - Daily A Lot,ELEC,AVBL,Lindbergh Dr,Sacramento,CA,95837,916-874-0670,24 hours daily; pay lot,Public, ,-121.588890000000006,38.690049999999999
3,57,Sylmar Metrolink Station,ELEC,AVBL,Village Way Dr,San Fernando,CA,91342,866-816-7584  818-237-7641,24 hours daily,Public, ,-118.449791399999995,34.292413400000001
4,83,Sutter Galleria Mall - University of California - Davis Extension,ELEC,AVBL,2901 K St,Sacramento,CA,95816,916-327-7072,24 hours daily; pay lot; visitor and student use only,Public, ,-121.467901999999995,38.572769999999998
5,87,City of Sacramento - Belle Cooledge Library,ELEC,AVBL,5600 S Land Park Dr,Sacramento,CA,95822,916-264-2700,24 hours daily,Public, ,-121.511200000000002,38.524403000000000
6,467,Nissan of Irvine,ELEC,AVBL,32 Auto Center Dr,Irvine,CA,92618,949-385-6044,Dealership business hours,Public - Call ahead, ,-117.723298000000000,33.632505000000002
7,472,Nissan of Mission Hills,ELEC,AVBL,11000 Sepulveda Blvd,Mission Hills,CA,91345,818-838-4444,Dealership business hours,Public - Call ahead, ,-118.466605999999999,34.269809000000002
8,478,Mossy Nissan - Oceanside,ELEC,AVBL,3535 College Blvd,Oceanside,CA,92056,760-720-9797,Dealership business hours,Public - Call ahead, ,-117.298333999999997,33.181953000000000
9,484,Crown Nissan,ELEC,AVBL,300 E Cypress Ave,Redding,CA,96002,530-223-2177,Dealership business hours,Public - Call ahead, ,-122.366540000000001,40.571632000000001
10,497,Nissan - San Juan Capistrano,ELEC,AVBL,33633 Camino Capistrano,San Juan Capistrano,CA,92675,888-718-2419,Dealership business hours,Public - Call ahead, ,-117.676141999999999,33.474429999999998
11,510,Champion Nissan,ELEC,AVBL,24111 Creekside Rd,Valencia,CA,91355,661-255-2020,Dealership business hours,Public - Call ahead, ,-118.557773999999995,34.420546000000002
12,1062,EVSP WALGREENS,ELEC,AVBL,26531 Aliso Creek Rd,Aliso Viejo,CA,92656,888-758-4389,24 hours daily,Public, ,-117.723844499999998,33.577102799999999
13,2366,University of California - Davis Medical Center,ELEC,AVBL,4241 X St,Sacramento,CA,95817,800-282-3284,24 hours daily,Public, ,-121.456100000000006,38.553545000000000
14,2768,California Air Resources Board,ELEC,AVBL,1900 14th St,Sacramento,CA,95811,916-322-3289,24 hours daily,Public, ,-121.492654000000002,38.568680999999998
15,2769,Wells Fargo Center,ELEC,AVBL,400 Capital Mall,Sacramento,CA,95814,916-614-8850,Garage business hours; pay lot,Public, ,-121.502380000000002,38.578648000000001
16,3034,SACRAMENTO,ELEC,AVBL,300 Richards Blvd,Sacramento,CA,95811,888-758-4389,24 hours daily,Public, ,-121.500626999999994,38.596758000000001
17,3051,Evergreen,ELEC,AVBL,300 Capitol Mall,Sacramento,CA,95814,916-498-9854,24 hours daily; pay lot,Public, ,-121.503856999999996,38.578940000000003
18,3392,Los Banos KOA,ELEC,AVBL,28485 Gonzaga Rd,Gustine,CA,95322,800-562-3992,8am-5pm daily,Public, ,-121.015401999999995,37.055146999999998
19,3590,Trillium - Yolo County Transportation District,ELEC,AVBL,350 Industrial Way,Woodland,CA,95776,800-920-1166  530-661-0816,24 hours daily,Public, ,-121.753507999999997,38.679225000000002
20,3789,Los Angeles County Sheriff - Santa Clarita Station,ELEC,AVBL,23740 Magic Mountain Pkwy,Santa Clarita,CA,91355,323-267-2023,"24 hours daily; keypad activated, instructions on EVSE",Public, ,-118.551259000000002,34.416091999999999
21,3942,Los Angeles County - Olive View UCLA Medical Center,ELEC,AVBL,14445 Olive View Dr,Sylmar,CA,91342,323-267-2023,"24 hours daily; keypad activated, instructions on EVSE",Public, ,-118.445513000000005,34.325912000000002
22,4514,R Street Parking Plaza,ELEC,AVBL,1515 R St,Sacramento,CA,95811,916-709-0414,24 hours daily,Public, ,-121.490127999999999,38.569558999999998
23,4581,San Joaquin County Office of Education,ELEC,AVBL,2707 Transworld Dr,Stockton,CA,95206,209-468-4800,8am-5pm M-F; see front desk for access,Public - Call ahead, ,-121.232399999999998,37.909461999999998
24,4696,Redding Kia,ELEC,AVBL,418 E Cypress Ave,Redding,CA,96002,530-226-0418,Dealership business hours,Public - Call ahead, ,-122.364311000000001,40.571392000000003
25,4724,City of Woodland - Public Parking,ELEC,AVBL,617 Dead Cat Alley,Woodland,CA,95695,530-661-2060,24 hours daily; 2 hour parking limit,Public, ,-121.772700000000000,38.678300000000000
26,4725,City of Woodland - Woodland Public Library,ELEC,AVBL,501 Court St,Woodland,CA,95695,530-661-2060,24 hours daily,Public, ,-121.774299999999997,38.679200000000002
27,4731,Castaic Lake RV Park,ELEC,AVBL,31540 Ridge Route Rd,Castaic,CA,91384,661-257-3340,24 hours daily; accepts EVRUS Card,Public, ,-118.616810999999998,34.491866000000002
28,4772,Sacramento Natural Foods Co-Op,ELEC,AVBL,2815 S St,Sacramento,CA,95816,916-455-2667,24 hours daily,Public, ,-121.472785000000002,38.564078000000002
29,4835,Sacramento Metro Air Quality Management District,ELEC,AVBL,777 12th St,Sacramento,CA,95814,916-874-4800,Garage business hours; mainly for employee use,Public, ,-121.489350000000002,38.582059000000001
30,4843,Woodland Joint Unified School District - Zamora Elementary,ELEC,AVBL,1716 Cottonwood St,Woodland,CA,95695,530-666-3641,24 hours daily; check in with office during school hours,Public, ,-121.794707000000002,38.658127999999998
31,4845,Woodland Joint Unified School District - Woodland High School,ELEC,AVBL,21 N W St,Woodland,CA,95695,530-662-4678,24 hours daily; check in with office during school hours,Public, ,-121.786231999999998,38.686897000000002
32,4846,Woodland Joint Unified School District - District Office,ELEC,AVBL,435 6th St,Woodland,CA,95695,530-662-0201,24 hours daily; check in with office during school hours,Public, ,-121.766289000000000,38.676195999999997
33,4847,Woodland Joint Unified School District - Rhoda Maxwell Elementary School,ELEC,AVBL,50 Ashley Ave,Woodland,CA,95695,530-662-1784,24 hours daily; check in with office during school hours,Public, ,-121.799049999999994,38.683942999999999
34,4848,Woodland Joint Unified School District - Whitehead Elementary,ELEC,AVBL,624 W Southwood Dr,Woodland,CA,95695,530-662-2824,24 hours daily; check in with office during school hours,Public, ,-121.794557999999995,38.669818999999997
35,4849,Woodland Joint Unified School District - Tafoya Elementary,ELEC,AVBL,720 Homestead Way,Woodland,CA,95776,530-666-4324,24 hours daily; check in with office during school hours,Public, ,-121.739797999999993,38.671075000000002
36,4897,Quail Hill Shopping Center,ELEC,AVBL,6601 Quail Hill Pkwy,Irvine,CA,92620,949-339-1033,24 hours daily,Public, ,-117.778086999999999,33.654080000000000
37,4903,Sacramento Area Electrical Training Center,ELEC,AVBL,2836 El Centro Rd,Sacramento,CA,95833,916-646-6688,24 hours daily,Public, ,-121.535360999999995,38.618915999999999
38,4905,Ocean Air Rec. Center - San Diego,ELEC,AVBL,4770 Fairport Way,San Diego,CA,92130,855-885-9571, ,Public, ,-117.217378999999994,32.931291999999999
39,4956,CalPERS,ELEC,AVBL,400 Q St,Sacramento,CA,95811,916-795-2446,Garage business hours,Public, ,-121.504869999999997,38.574401999999999
40,4957,CalPERS,ELEC,AVBL,400 P St,Sacramento,CA,95811,916-795-2446,Garage business hours,Public, ,-121.504536999999999,38.575240000000001
41,5189,Hacienda,ELEC,AVBL,28811 Ortega Way,San Juan Capistrano,CA,92675,855-443-3873,24 hours daily,Public, ,-117.624821984999997,33.525379424999997
42,5191,The Outpost,ELEC,AVBL,28811 Ortega Way,San Juan Capistrano,CA,92675,855-443-3873,24 hours daily,Public, ,-117.616509320999995,33.527301550799997
43,5192,Ranch House,ELEC,AVBL,28811 Ortega Way,San Juan Capistrano,CA,92675,855-443-3873,24 hours daily,Public, ,-117.624134401999996,33.525951541300003
44,5461,Jeronimo 9501 2,ELEC,AVBL,9501  Jeronimo Rd,Irvine,CA,92618,855-443-3873,24 hours daily,Public, ,-117.716963000000007,33.649738900000003
45,5489,Jeronimo 9501 1,ELEC,AVBL,9501  Jeronimo Rd,Irvine,CA,92618,855-443-3873,24 hours daily,Public, ,-117.716763000000000,33.649738900000003
46,5952,City of Woodland - Public Parking,ELEC,AVBL,435 Court St,Woodland,CA,95695,530-661-2060,24 hours daily,Public, ,-121.775000000000006,38.679000000000002
47,6078,Christa McAuliffe Middle School,ELEC,AVBL,3880 Iron Canyon Cir,Stockton,CA,95209,209-331-7193,24 hours daily,Public, ,-121.366808000000006,38.045079999999999
48,6079,Bear Creek High School,ELEC,AVBL,10555 Thornton Rd,Stockton,CA,95209,209-331-7193,24 hours daily,Public, ,-121.351267000000007,38.051544999999997
49,6124,Los Angeles County - Olive View UCLA Medical Center - Overflow Lot,ELEC,AVBL,14445 Olive View Dr,Sylmar,CA,91342,323-267-2023,"24 hours daily; keypad activated, instructions on EVSE",Public, ,-118.445513000000005,34.325912000000002
50,6292,Best Western,ELEC,AVBL,25020 W Dorris Ave,Coalinga,CA,93210,559-935-0866,24 hours daily,Public,A Cash Checks D M V,-120.248181000000002,36.256100000000004
51,6421,Days Inn,ELEC,AVBL,14684 Aloma St,Lost Hills,CA,93249,877-676-6266  661-797-2371,24 hours daily,Public,A Cash Checks D M V,-119.656362999999999,35.617189000000003
52,6970,Sacramento International Airport - Cell Phone Lot,ELEC,AVBL,Lindbergh Dr,Sacramento,CA,95837,888-751-8560  916-874-0670,24 hours daily,Public, ,-121.591806899999995,38.678937699999999
53,8316,Whole Foods - Flower Hill Promenade,ELEC,AVBL,2600 Via de la Valle,Del Mar,CA,92014,877-455-3833,24 hours daily,Public - Card key at all times, ,-117.252453000000003,32.981482999999997
54,8362,The Shops at Mission Viejo,ELEC,AVBL,555 the Shops at Mission Viejo,Mission Viejo,CA,92691,877-455-3833,24 hours daily,Public - Card key at all times, ,-117.668266000000003,33.557200999999999
55,8436,Lazy Acres,ELEC,AVBL,150 Encinitas Blvd,Encinitas,CA,92024,877-455-3833,24 hours daily,Public - Card key at all times, ,-117.288899000000001,33.049812000000003
56,8453,Carlsbad Premium Outlets,ELEC,AVBL,5620 Paseo del Norte,Carlsbad,CA,92008,877-455-3833,24 hours daily,Public - Card key at all times, ,-117.319507000000002,33.124966000000001
57,8616,Bridgeport Marketplace,ELEC,AVBL,23841 Newhall Ranch Rd,Valencia,CA,91355,877-455-3833,24 hours daily,Public - Card key at all times, ,-118.552869000000001,34.429412999999997
58,8879,Walmart,ELEC,AVBL,755 Riverpoint Ct,West Sacramento,CA,95605,877-455-3833,24 hours daily,Public - Card key at all times, ,-121.550955000000002,38.587955000000001
59,8905,7-Eleven,ELEC,AVBL,901 Palomar Airport Rd,Carlsbad,CA,92011,877-455-3833,24 hours daily,Public - Card key at all times, ,-117.318729000000005,33.121561000000000
60,9120,Office Building,ELEC,AVBL,15231 Alton Pkwy,Irvine,CA,92618,866-816-7584,Office business hours; for employee and guest use only,Public, ,-117.733618000000007,33.649355000000000
61,9121,Office Building,ELEC,AVBL,15285 Alton Pkwy,Irvine,CA,92618,866-816-7584,Office business hours; for employee and guest use only,Public, ,-117.735106000000002,33.651367000000000
62,9395,Sheraton Carlsbad,ELEC,AVBL,5440 Grand Pacific Dr,Carlsbad,CA,92008,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.309162999999998,33.131337000000002
63,9424,IKEA - West Sacramento,ELEC,AVBL,700 IKEA Court,West Sacramento,CA,95605,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-121.552594999999997,38.586430000000000
64,9479,Hilton La Jolla Torrey Pines,ELEC,AVBL,10950 North Torrey Pines Road,La Jolla,CA,92037,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.243771400000000,32.901535799999998
65,9578,City of Encinitas - Lot B SW Corner Vulcan and E St,ELEC,AVBL,600 S Vulcan Ave,Encinitas,CA,92024,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.292413400000001,33.044805699999998
66,9664,Salk Institute,ELEC,AVBL,10010 North Torrey Pines Road,La Jolla,CA,92037,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.244243999999995,32.886682000000000
67,9738,City of Solana Beach,ELEC,AVBL,635 South HGWY 101,Solana Beach,CA,92075,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.270627000000005,32.983421999999997
68,9742,Providence Holy Cross Medical Center - Cancer Research Center,ELEC,AVBL,15031 Rinaldi Street,Mission Hills,CA,91345,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-118.460143000000002,34.279220000000002
69,9743,Providence Holy Cross Medical Center - General Parking,ELEC,AVBL,15031 Rinaldi Street,Mission Hills,CA,91345,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-118.461522000000002,34.280225999999999
70,9986,HOLOGIC Gen-Probe,ELEC,AVBL,6333 Sequence Drive,San Diego,CA,92121,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.184630999999996,32.905825000000000
71,10083,City of Woodland - Municipal Service Center,ELEC,AVBL,655 N Pioneer Ave,Woodland,CA,95776,530-661-2060,24 hours daily,Public, ,-121.700000000000003,38.695999999999998
72,10370,Greenlots - 33056,ELEC,AVBL,45 Oldfield,Irvine,CA,92618,855-900-7584,24 hours daily,Public, ,-117.721893311000002,33.635841369600001
73,10429,Greenlots - 43139,ELEC,AVBL,401 I St,Sacramento,CA,95814,855-900-7584,24 hours daily,Public, ,-121.500877380000006,38.583518981899999
74,10441,Greenlots - 43136,ELEC,AVBL,2820 R Street,Sacramento,CA,95816,855-900-7584,24 hours daily,Public, ,-121.471954346000004,38.564548492400000
75,10442,Greenlots - 12257,ELEC,AVBL,2820 R Street,Sacramento,CA,95817,855-900-7584,24 hours daily,Public, ,-121.471992493000002,38.564552307100001
76,10473,Greenlots - 12589,ELEC,AVBL,16772 Chatsworth St,Granada Hills,CA,91344,855-900-7584,24 hours daily,Public, ,-118.497146606000001,34.264656066900002
77,10497,Greenlots - 182082,ELEC,AVBL,11121 Sepulveda Blvd,Mission Hills,CA,91345,855-900-7584,24 hours daily,Public, ,-118.468619000000004,34.272942000000000
78,10693,Santa Clarita Metrolink Station,ELEC,AVBL,22122 Soledad Canyon Rd,Santa Clarita,CA,91351,866-816-7584  661-294-1287,24 hours daily,Public, ,-118.524156000000005,34.415081000000001
79,10796,Greenlots - 12923,ELEC,AVBL,10432 Sepulveda,Los Angeles,CA,91345,855-900-7584,24 hours daily,Public, ,-118.467147827000005,34.261177062999998
80,10901,Camino Town and Country,ELEC,AVBL,2227 S El Camino Real,Oceanside,CA,92054,877-455-3833,24 hours daily,Public - Card key at all times, ,-117.328962000000004,33.185527000000000
81,10927,Easy Trip Food Store - Tesla Supercharger,ELEC,AVBL,29541 Stockdale Hwy,Bakersfield,CA,93314,877-798-3752,24 hours daily; for Tesla use only,Public, ,-119.331599999999995,35.354599999999998
82,10931,Starbucks - Tesla Supercharger,ELEC,AVBL,20673 Tracy Ave.,Buttonwillow,CA,93206,877-798-3752,24 hours daily; for Tesla use only,Public, ,-119.397800000000004,35.400100000000002
83,10933,Harris Ranch Inn and Restaurant - Tesla Supercharger,ELEC,AVBL,24505 W Dorris Ave,Coalinga,CA,93210,877-798-3752,24 hours daily; for Tesla use only,Public, ,-120.237899999999996,36.254100000000001
84,10935,Rabobank Corning - Tesla Supercharger,ELEC,AVBL,950 Hwy 99 W,Corning,CA,96021,877-798-3752,24 hours daily; for Tesla use only,Public, ,-122.198400000000007,39.926499999999997
85,10960,Bernard Drive - Tesla Supercharger,ELEC,AVBL,27675 Bernard Drive,Kettleman City,CA,93239,877-798-3752,24 hours daily; for Tesla use only,Public, ,-119.961799999999997,35.987299999999998
86,10962,Petro Shopping Center - Tesla Supercharger,ELEC,AVBL,5602 Dennis McCarthy Drive,Lebec,CA,93243,877-798-3752,24 hours daily; for Tesla use only,Public, ,-118.946299999999994,34.987400000000001
87,10968,Mt Shasta Shopping Center - Tesla Supercharger,ELEC,AVBL,134 Morgan Way,Mount Shasta,CA,96067,877-798-3752,24 hours daily; for Tesla use only,Public, ,-122.315899999999999,41.310299999999998
88,10969,Best Western Plus Treehouse Mt. Shasta - Tesla Supercharger,ELEC,AVBL,111 Morgan Way,Mt. Shasta,CA,96067,877-798-3752,24 hours daily; for Tesla use only,Public, ,-122.317300000000003,41.310200000000002
89,10980,Promenade at Sacramento Gateway - Tesla Supercharger,ELEC,AVBL,3668 N. Freeway Blvd.,Sacramento,CA,95834,877-798-3752,24 hours daily; for Tesla use only,Public, ,-121.497200000000007,38.637799999999999
90,10984,Outlets at San Clemente - Tesla Supercharger,ELEC,AVBL,101 West Avenida Vista Hermosa,San Clemente,CA,92672,877-798-3752,24 hours daily; for Tesla use only,Public, ,-117.626900000000006,33.436799999999998
91,10985,Qualcomm Incorporated - Tesla Supercharger,ELEC,AVBL,10155 Pacific Heights Blvd,San Diego,CA,92121,877-798-3752,24 hours daily; for Tesla use only,Public, ,-117.193700000000007,32.902200000000001
92,10987,Union Bank - Tesla Supercharger,ELEC,AVBL,31971  Camino Capistrano,San Juan Capistrano,CA,92675,877-798-3752,24 hours daily; for Tesla use only,Public, ,-117.663100000000000,33.498500000000000
93,11000,Bridgeport Marketplace - Tesla Supercharger,ELEC,AVBL,24061 Newhall Ranch Road Valencia,Valencia,CA,91355,877-798-3752,24 hours daily; for Tesla use only,Public, ,-118.554100000000005,34.430999999999997
94,11549,Greenlots - 12938,ELEC,AVBL,12860 Encinitas Ave,Los Angeles,CA,91342,855-900-7584,24 hours daily,Public, ,-118.478019713999998,34.303348541299997
95,11552,Greenlots - 12928,ELEC,AVBL,10331 Langdon Ave,Los Angeles,CA,91345,855-900-7584,24 hours daily,Public, ,-118.469757079999994,34.257701873800002
96,11646,Mercy Medical Center,ELEC,AVBL,914 Pine St,Mt Shasta,CA,96067,530-926-6111,24 hours daily,Public, ,-122.319699999999997,41.317501999999998
97,12333,Park Hyatt Aviara - Tesla Destination,ELEC,AVBL,7100 Aviara Resort Dr,Carlsbad,CA,92056,760-448-1234  877-798-3752,24 hours daily; for customer use only; see valet for access,Public, ,-117.285906999999995,33.099167999999999
98,12334,Four Seasons Resort Aviara - Tesla Destination,ELEC,AVBL,7210 Blue Heron Pl,Carlsbad,CA,92011,760-603-3700  877-798-3752,24 hours daily; for customer use only; see front desk for access,Public, ,-117.283607000000003,33.097012999999997
99,12370,Monarch Beach Resort - Tesla Destination,ELEC,AVBL,1 Monarch Beach Resort N,Dana Point,CA,92629,949-234-3200  877-798-3752,24 hours daily; for customer use only; see valet for access,Public, ,-117.715295999999995,33.483047999999997
100,12371,Best Western Plus Marina Shores Hotel - Tesla Destination,ELEC,AVBL,34280 Pacific Coast Hwy,Dana Point,CA,92629,949-248-1000  877-798-3752,24 hours daily; for customer use only,Public, ,-117.689368000000002,33.465904000000002
101,12372,Best Western Plus Dana Point Inn By The Sea - Tesla Destination,ELEC,AVBL,34744 Pacific Coast Hwy,Dana Point,CA,92624,949-240-0150  877-798-3752,24 hours daily; for customer use only; see front desk for access,Public, ,-117.670657000000006,33.457689000000002
102,12375,L'Auberge Del Mar - Tesla Destination,ELEC,AVBL,1540 Camino Del Mar,Del Mar,CA,92014,858-259-1515  877-798-3752,24 hours daily; for customer use only; see valet for access,Public, ,-117.265995000000004,32.960065000000000
103,12376,Hilton San Diego/Del Mar - Tesla Destination,ELEC,AVBL,15575 Jimmy Durante Blvd,Del Mar,CA,92014,858-792-5200  877-798-3752,24 hours daily; for customer use only; see front desk for access,Public, ,-117.256067999999999,32.978524999999998
104,12381,Dunsmuir Lodge - Tesla Destination,ELEC,AVBL,6604 Dunsmuir Ave,Dunsmuir,CA,96025,530-235-2884  877-798-3752,24 hours daily; for customer use only; see front desk for access,Public, ,-122.276779000000005,41.198543000000001
105,12384,Hampton Inn Elk Grove - Tesla Destination,ELEC,AVBL,2305 Longport Ct,Elk Grove,CA,95758,916-683 9545  877-798-3752,24 hours daily; for customer use only; see front desk for access,Public, ,-121.482246000000004,38.426921000000000
106,12451,Marriott Irvine Spectrum - Tesla Destination,ELEC,AVBL,7889 Irvine Center Dr,Irvine,CA,92618,949-759-0200  877-798-3752,24 hours daily; for customer use only; see front desk for access,Public, ,-117.748728999999997,33.656739000000002
