,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging,most_utilized_node,least_utilized_node,strongly_connected_components,weakly_connected_components
1,0,0,45,1.9,215,True,6.553906250000001,6.635416666666667,0,"(1.0, 2.4598439829250043, 4.2518900502485035, 2.3816753800055364, 1.125694086286723)","(0.0, 0.1, 5.4, 1.5304347826086957, 1.7679353673531157)","(0, 9.0, 36, 9.695652173913043, 11.098118848073915)",8,1,296,44
2,0,1,45,1.9,215,True,5.055989583333333,5.187760416666666,0,"(1.0, 2.125945075568434, 3.9636855689403414, 1.906201112178289, 0.8607302587321378)","(0.0, 0.0, 3.4, 0.32727272727272727, 0.6981676134918647)","(0, 9.0, 35, 6.931818181818182, 7.750066648607047)",16,2,292,44
3,0,2,45,1.9,215,True,5.956510416666667,6.250520833333334,0,"(1.0, 2.00431736629579, 4.067025361957004, 2.1129732990366312, 1.1318756453079544)","(0.0, 0.0, 4.4, 0.9802197802197803, 1.5182566477377768)","(0, 9.0, 38, 6.010989010989011, 7.018804421365062)",37,3,280,45
4,0,3,45,1.9,215,True,4.846614583333333,5.03828125,0,"(1.0, 2.00431736629579, 4.159457756546936, 1.8819040410915489, 0.9421461177254686)","(0.0, 0.0, 4.4, 0.5230769230769231, 1.024435188589938)","(0, 9.0, 20, 5.495726495726496, 5.744747034404385)",37,4,270,45
5,0,4,45,1.9,215,True,5.229947916666667,5.659895833333334,0,"(1.0, 2.00431736629579, 4.203478398914967, 1.9167945908838953, 0.8978221641101145)","(0.0, 0.0, 4.4, 0.6534653465346535, 1.1327321178369294)","(0, 9.0, 11, 5.415841584158416, 4.883326505271035)",210,5,269,45
6,1,0,90,1.9,215,True,7.5234375,7.6140625,0,"(1.0, 1.081176268014861, 4.555266635046304, 1.9773419355678385, 1.1916055563500072)","(0.0, 0.0, 6.6, 0.8754716981132076, 1.735849056603774)","(0, 0.0, 41, 8.566037735849056, 13.383331556295907)",8,1,296,44
7,1,1,90,1.9,215,True,4.482291666666667,4.590104166666666,0,"(1.0, 1.8179473773520891, 3.127816512829208, 1.8601826465287428, 0.6670787646780787)","(0.0, 0.0, 3.0, 0.4842105263157895, 0.6827677095120672)","(0, 4.0, 25, 5.968421052631579, 6.812453969449815)",37,2,292,44
8,1,2,90,1.9,215,True,3.948177083333333,4.239583333333333,0,"(1.0, 1.8221066966325363, 3.6368141255439412, 1.9952746825360048, 0.8393656008045828)","(0.0, 0.0, 3.6, 0.6993464052287581, 0.956607344749956)","(0, 5.0, 25, 6.908496732026144, 7.222296157903869)",16,3,283,45
9,1,3,90,1.9,215,True,3.291666666666667,3.7565104166666665,0,"(1.0, 1.7310013618009097, 3.559368561721379, 1.9241606603259913, 0.7035566276719956)","(0.0, 0.0, 3.0, 0.4748603351955307, 0.7435265189650986)","(0, 5.0, 26, 6.648044692737431, 6.260109953004091)",210,4,270,45
10,1,4,90,1.9,215,True,4.446875,4.7515625,0,"(1.0, 1.8179473773520891, 3.838534723425016, 1.9908385426709039, 0.8132622642063309)","(0.0, 0.0, 3.6, 0.7146198830409357, 1.028464620390093)","(0, 5.0, 26, 6.43859649122807, 6.625356776516118)",34,5,268,45
11,2,0,45,0.95,215,True,2.8606770833333335,3.30625,0,"(1.0, 1.0, 2.104163193540165, 1.1934767563867341, 0.2622248702305928)","(0.0, 0.0, 2.0, 0.06133333333333334, 0.27254846663789295)","(0, 0.0, 24, 3.631111111111111, 5.394804999965645)",16,1,197,44
12,2,1,45,0.95,215,True,2.4984374999999996,2.9643229166666667,0,"(1.0, 1.2016211296691148, 2.913802116474798, 1.4136685859730955, 0.40516313907654666)","(0.0, 0.0, 2.2, 0.08055555555555555, 0.3294097789518942)","(0, 0.0, 24, 2.4166666666666665, 3.9314143152965344)",15,2,195,44
13,2,2,45,0.95,215,True,2.790885416666667,3.175520833333333,0,"(1.0, 1.3397710086143444, 2.5995010580751017, 1.526415799483843, 0.44115792838769613)","(0.0, 0.0, 1.8, 0.1411111111111111, 0.38912849761270496)","(0, 0.0, 20, 3.188888888888889, 4.142984550738069)",10,3,191,44
14,2,3,45,0.95,215,True,2.663802083333333,3.169791666666667,0,"(1.0, 1.2940535242590467, 2.456591571688912, 1.4792106023774514, 0.389546586062132)","(0.0, 0.0, 1.8, 0.08411214953271028, 0.28289211731560276)","(0, 0.0, 20, 2.953271028037383, 4.336075958852235)",54,4,187,44
15,2,4,45,0.95,215,True,3.156770833333333,3.398697916666667,0,"(1.0, 1.2940535242590467, 3.112470442598079, 1.4787789076713593, 0.4606545639765552)","(0.0, 0.0, 3.0, 0.13401015228426394, 0.44597541520012174)","(0, 0.0, 26, 3.035532994923858, 4.8347049469474594)",34,5,186,44
16,3,0,45,1.9,430,True,3.6317708333333334,4.344270833333334,0,"(1.0, 1.0, 3.0625803347395526, 1.3167342773057937, 0.5021295465038998)","(0.0, 0.0, 3.6, 0.17339901477832514, 0.58003038259051)","(0, 0.0, 29, 4.522167487684729, 6.828169069299833)",16,1,197,44
17,3,1,45,1.9,430,True,2.6140625,3.1361979166666667,0,"(1.0, 1.2016211296691148, 3.253991586013001, 1.4826570763738598, 0.5373467105810598)","(0.0, 0.0, 2.2, 0.0345679012345679, 0.24603547562488945)","(0, 0.0, 28, 3.8950617283950617, 6.614245778500511)",210,2,195,44
18,3,2,45,1.9,430,True,3.0984375,3.60546875,0,"(1.0, 1.2119649182347263, 2.8475793411003703, 1.515951528056974, 0.5577868448224003)","(0.0, 0.0, 2.4, 0.06289308176100629, 0.3002207697363205)","(0, 0.0, 28, 3.842767295597484, 6.676283558492392)",10,3,192,44
19,3,3,45,1.9,430,True,3.000260416666667,3.3723958333333335,0,"(1.0, 1.2016211296691148, 2.9349728030705498, 1.41630259304586, 0.4982577168669326)","(0.0, 0.0, 1.0, 0.010457516339869282, 0.09369914215664013)","(0, 0.0, 20, 3.1241830065359477, 5.63523028907897)",15,4,188,44
20,3,4,45,1.9,430,True,3.1755208333333336,3.601822916666667,0,"(1.0, 1.2016211296691148, 2.781356565725943, 1.3940156987726988, 0.46184982704233407)","(0.0, 0.0, 1.2, 0.013414634146341465, 0.12123570584282345)","(0, 0.0, 28, 2.7560975609756095, 5.258120260455126)",221,5,185,44
21,4,0,90,0.95,430,True,2.13203125,2.349739583333333,0,"(1.0, 1.0, 1.8174499668723525, 1.0224564464791959, 0.0856902777348089)","(0.0, 0.0, 1.6, 0.008368200836820083, 0.08923814217083366)","(0, 0.0, 20, 0.8263598326359832, 3.246687357814233)",39,1,149,44
22,4,1,90,0.95,430,True,0.5984375,0.7260416666666667,0,"(1.0, 1.3326426349293854, 1.783793496206447, 1.3410809640590062, 0.15939120869535486)","(0.0, 0.0, 0.8, 0.002346041055718475, 0.04325885962366164)","(0, 0.0, 10, 0.34310850439882695, 1.553405402033064)",11,2,149,44
23,4,2,90,0.95,430,True,0.9580729166666666,1.0302083333333334,0,"(1.0, 1.3260392680922783, 1.7065733517254975, 1.3379089918047327, 0.16459460042111498)","(0.0, 0.0, 0.6, 0.00949868073878628, 0.0720195801091889)","(0, 0.0, 10, 0.31398416886543534, 1.391299656169946)",11,3,149,44
24,4,3,90,0.95,430,True,0.84296875,0.9013020833333333,0,"(1.0, 1.3034975686512595, 1.7501370151459477, 1.3082743098150493, 0.16700829780709273)","(0.0, 0.0, 0.0, 0.0, 0.0)","(0, 0.0, 10, 0.27371273712737126, 1.4458191417500237)",11,4,149,44
25,4,4,90,0.95,430,True,0.6002604166666667,0.6958333333333333,0,"(1.0, 1.3034975686512595, 1.7501370151459477, 1.3476606750827613, 0.15302853940044475)","(0.0, 0.0, 0.8, 0.0021917808219178085, 0.04181651293882503)","(0, 0.0, 10, 0.4383561643835616, 1.843064016532617)",12,5,150,44
